timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1671634814518,4385,post-register,201,Created,NormalTest 1-36,text,false,"The operation lasted too long: It took 4,385 milliseconds, but should not have lasted longer than 2,000 milliseconds.",574,876,79,79,https://market-final-project.herokuapp.com/auth/register,4385,0,1708
1671634818283,649,post login,201,Created,NormalTest 1-54,text,true,,525,388,80,80,https://market-final-project.herokuapp.com/auth/login,649,0,0
1671634817119,1896,post-register,201,Created,NormalTest 1-62,text,true,,574,901,80,80,https://market-final-project.herokuapp.com/auth/register,1896,0,958
1671634817435,1606,post-seller-product,201,Created,NormalTest 1-41,text,true,,675,124301,81,81,https://market-final-project.herokuapp.com/seller/product,1606,0,0
1671634818300,769,get-seller-product,200,OK,NormalTest 1-29,text,true,,716,466,81,81,https://market-final-project.herokuapp.com/seller/product,769,0,0
1671634817048,2029,post login,201,Created,NormalTest 1-44,text,false,"The operation lasted too long: It took 2,029 milliseconds, but should not have lasted longer than 2,000 milliseconds.",525,388,81,81,https://market-final-project.herokuapp.com/auth/login,2029,0,0
1671634817019,2066,post-register,201,Created,NormalTest 1-61,text,false,"The operation lasted too long: It took 2,066 milliseconds, but should not have lasted longer than 2,000 milliseconds.",574,891,81,81,https://market-final-project.herokuapp.com/auth/register,2066,0,1289
1671634818118,983,get-seller-product,200,OK,NormalTest 1-32,text,true,,716,466,81,81,https://market-final-project.herokuapp.com/seller/product,983,0,0
1671634818707,467,post login,201,Created,NormalTest 1-63,text,true,,522,386,82,82,https://market-final-project.herokuapp.com/auth/login,467,0,0
1671634817192,2016,post login,201,Created,NormalTest 1-45,text,false,"The operation lasted too long: It took 2,016 milliseconds, but should not have lasted longer than 2,000 milliseconds.",525,388,82,82,https://market-final-project.herokuapp.com/auth/login,2016,0,0
1671634816021,3198,get-seller-product-id,200,OK,NormalTest 1-8,text,false,"The operation lasted too long: It took 3,198 milliseconds, but should not have lasted longer than 2,000 milliseconds.",714,472,83,83,https://market-final-project.herokuapp.com/seller/product/41116,3198,0,0
1671634818281,975,get-seller-product-id,200,OK,NormalTest 1-15,text,true,,714,472,83,83,https://market-final-project.herokuapp.com/seller/product/41125,975,0,0
1671634818707,556,post login,201,Created,NormalTest 1-58,text,true,,525,388,83,83,https://market-final-project.herokuapp.com/auth/login,556,0,0
1671634818309,964,get-seller-product,200,OK,NormalTest 1-34,text,true,,716,466,83,83,https://market-final-project.herokuapp.com/seller/product,964,0,0
1671634817836,1440,post-seller-product,201,Created,NormalTest 1-37,text,true,,675,124280,83,83,https://market-final-project.herokuapp.com/seller/product,1440,0,0
1671634817702,1597,post-seller-product,201,Created,NormalTest 1-31,text,true,,675,124310,83,83,https://market-final-project.herokuapp.com/seller/product,1597,0,0
1671634815118,4226,post-register,201,Created,NormalTest 1-42,text,false,"The operation lasted too long: It took 4,226 milliseconds, but should not have lasted longer than 2,000 milliseconds.",574,876,84,84,https://market-final-project.herokuapp.com/auth/register,4226,0,1536
1671634816456,2911,get-seller-product,200,OK,NormalTest 1-11,text,false,"The operation lasted too long: It took 2,911 milliseconds, but should not have lasted longer than 2,000 milliseconds.",716,466,84,84,https://market-final-project.herokuapp.com/seller/product,2911,0,0
1671634818903,550,post login,201,Created,NormalTest 1-36,text,true,,525,388,85,85,https://market-final-project.herokuapp.com/auth/login,550,0,0
1671634818068,1519,post-seller-product,201,Created,NormalTest 1-51,text,true,,675,124334,86,86,https://market-final-project.herokuapp.com/seller/product,1519,0,0
1671634818370,1217,post-seller-product,201,Created,NormalTest 1-56,text,true,,675,124265,86,86,https://market-final-project.herokuapp.com/seller/product,1217,0,0
1671634818385,1202,post-seller-product,201,Created,NormalTest 1-4,text,true,,675,124292,86,86,https://market-final-project.herokuapp.com/seller/product,1202,0,0
